Time,Ultrasonic_p3_01,Ultrasonic_p4_01,Gyro_p1_01,Rotation_pA_01,Rotation_pD_01,Ultrasonic_p3_02,Ultrasonic_p4_02,Gyro_p1_02,Rotation_pA_02,Rotation_pD_02
9.000,41.000,32.100,94.000,12.672,12.711,33.800,94.100,32.000,12.683,12.700,
9.100,41.800,32.100,96.000,12.814,12.853,32.900,93.900,32.000,12.822,12.839,
9.200,44.700,32.600,97.000,12.958,12.992,32.100,93.100,32.000,12.969,12.975,
9.300,45.200,32.100,99.000,13.097,13.131,32.100,92.500,31.000,13.111,13.119,
9.400,43.700,32.600,100.000,13.239,13.275,32.600,92.100,30.000,13.253,13.258,
9.500,44.300,32.600,103.000,13.375,13.414,30.800,90.800,30.000,13.394,13.394,
9.600,34.500,33.000,105.000,13.514,13.556,28.900,90.900,29.000,13.536,13.533,
9.700,45.500,33.600,107.000,13.658,13.703,28.200,90.700,28.000,13.678,13.675,
9.800,32.600,34.000,109.000,13.797,13.842,27.300,89.400,27.000,13.822,13.814,
9.900,32.600,34.900,111.000,13.950,13.994,25.700,88.600,26.000,13.964,13.956,
10.000,32.600,35.500,113.000,14.083,14.128,25.100,87.700,26.000,14.106,14.094,
10.100,255.000,36.500,116.000,14.225,14.269,23.600,86.900,25.000,14.247,14.239,
10.200,32.600,37.600,118.000,14.364,14.408,23.500,85.700,24.000,14.392,14.381,
10.300,48.300,39.100,120.000,14.506,14.553,22.700,85.500,23.000,14.531,14.519,
10.400,45.200,39.900,122.000,14.647,14.692,21.700,85.500,21.000,14.678,14.661,
10.500,32.800,41.600,122.000,14.792,14.833,21.100,83.900,19.000,14.819,14.803,
10.600,45.200,42.700,123.000,14.936,14.972,20.300,82.600,17.000,14.964,14.942,
10.700,45.400,46.000,124.000,15.075,15.108,19.900,82.300,14.000,15.106,15.083,
10.800,45.500,46.400,126.000,15.219,15.250,19.500,81.200,12.000,15.247,15.225,
10.900,46.200,47.400,127.000,15.358,15.392,19.000,80.400,11.000,15.392,15.369,
11.000,46.400,49.600,130.000,15.503,15.536,19.100,79.400,10.000,15.528,15.508,
11.100,47.100,54.600,131.000,15.639,15.675,19.100,78.600,9.000,15.672,15.650,
11.200,47.100,54.600,133.000,15.786,15.819,18.400,77.800,6.000,15.811,15.792,
11.300,47.300,54.600,134.000,15.928,15.961,18.400,76.500,4.000,15.953,15.933,
11.400,48.100,54.600,135.000,16.067,16.097,18.400,76.500,3.000,16.092,16.072,
11.500,47.100,54.600,135.000,16.208,16.239,18.400,255.000,1.000,16.233,16.214,
11.600,47.100,61.800,135.000,16.353,16.381,18.400,255.000,0.000,16.378,16.358,
11.700,47.500,63.200,134.000,16.497,16.519,18.400,255.000,-1.000,16.519,16.497,
11.800,47.900,63.500,135.000,16.639,16.658,19.500,255.000,-2.000,16.661,16.639,
11.900,45.500,67.000,137.000,16.778,16.800,19.900,255.000,-4.000,16.797,16.778,
12.000,47.300,71.300,141.000,16.925,16.947,20.400,255.000,-6.000,16.942,16.919,
12.100,46.400,71.300,142.000,17.058,17.086,21.900,255.000,-8.000,17.083,17.064,
12.200,46.200,96.800,143.000,17.197,17.225,22.900,255.000,-9.000,17.222,17.203,
12.300,45.400,96.800,144.000,17.342,17.369,23.700,255.000,-9.000,17.369,17.350,
12.400,44.700,96.800,143.000,17.481,17.508,24.100,255.000,-10.000,17.508,17.492,
12.500,44.800,78.600,144.000,17.625,17.647,25.100,255.000,-12.000,17.650,17.631,
12.600,45.200,78.000,144.000,17.764,17.786,25.700,255.000,-13.000,17.786,17.764,
12.700,44.300,80.000,145.000,17.911,17.931,27.300,255.000,-15.000,17.928,17.906,
12.800,43.500,83.400,146.000,18.050,18.069,28.800,255.000,-16.000,18.072,18.053,
12.900,43.900,122.300,148.000,18.192,18.214,29.600,255.000,-16.000,18.214,18.194,
13.000,43.500,122.300,149.000,18.331,18.353,30.300,255.000,-16.000,18.353,18.333,
13.100,42.000,121.800,150.000,18.472,18.497,32.100,51.700,-17.000,18.494,18.478,
13.200,42.700,120.600,150.000,18.611,18.636,32.100,51.700,-19.000,18.639,18.622,
13.300,41.100,120.600,151.000,18.756,18.781,34.000,48.300,-21.000,18.781,18.764,
13.400,40.100,121.500,151.000,18.897,18.914,35.500,48.300,-22.000,18.919,18.897,
13.500,40.800,121.500,151.000,19.039,19.056,35.300,48.300,-22.000,19.064,19.042,
13.600,39.700,121.100,151.000,19.186,19.197,38.400,255.000,-23.000,19.206,19.183,
13.700,38.400,47.500,151.000,19.325,19.333,38.900,255.000,-25.000,19.344,19.322,
